"%1 details","%1 gegevens"
"%1 [Trace ID: %2]","%1 [Trace-ID: %2]"
"%1 could not be reached to verify this API key. This is a connection problem rather than necessarily a problem with the key. Check that this store can make outbound requests, then try again.","%1 kon niet worden bereikt om deze API-sleutel te verifiëren. Dit is een verbindingsprobleem en niet noodzakelijk een probleem met de sleutel. Controleer of deze winkel uitgaande verzoeken kan versturen en probeer het opnieuw."
"%1 could not verify this API key because the service returned an error (HTTP %2). The key itself may be fine, so please try again shortly.","%1 kon deze API-sleutel niet verifiëren omdat de service een fout heeft geretourneerd (HTTP %2). De sleutel zelf is mogelijk in orde, probeer het dus binnenkort opnieuw."
"%1 customer address updated.","%1 klantadres bijgewerkt."
"%1 is a payment solution for B2B purchases online, allowing you to buy from your favourite merchants and suppliers on trade credit. Using %1, you can access flexible trade credit instantly to make purchasing simple.","%1 is een betalingsoplossing voor online B2B-aankopen, waarmee u op handelskrediet kunt kopen bij uw favoriete handelaren en leveranciers. Met %1 heeft u direct toegang tot flexibel handelskrediet om het aankopen eenvoudig te maken."
"%1 order has been marked as cancelled","%1 bestelling is gemarkeerd als geannuleerd"
"%1 order marked as completed.","%1 bestelling gemarkeerd als voltooid."
"%1 order marked as partially completed.","%1 bestelling gemarkeerd als gedeeltelijk voltooid."
"%1 payment has been verified by the customer.","%1 betaling is door de klant geverifieerd."
"%1 requires whole order to be shipped before it can be fulfilled.","%1 vereist dat de gehele bestelling wordt verzonden voordat deze kan worden uitgevoerd."
"%1 returned an unexpected response while verifying this API key, so it could not be confirmed. Please try again shortly.","%1 heeft een onverwacht antwoord geretourneerd tijdens het verifiëren van deze API-sleutel, dus deze kon niet worden bevestigd. Probeer het binnenkort opnieuw."
"%1 terms and conditions","%1 voorwaarden en condities"
"* Required Fields","* Verplichte velden"
"The %1 payment plugin for Magento simplifies B2B shopping, making it easy and safe for merchants to offer invoices as a payment method.<br>The payment method lives next to other payment methods in your existing checkout, and offers a variety of configuration options to suit your businesses needs.<br>If you would like to know more about how to configure the plugin, check out our <a href=""%2"" target=""_blank"">step by step guide</a>.","De %1-betaalplug-in voor Magento vereenvoudigt B2B-shoppen en maakt het voor verkopers eenvoudig en veilig om facturen als betaalmethode aan te bieden. <br> De betaalmethode staat naast andere betaalmethoden in je bestaande kassa en biedt een verscheidenheid aan configuratieopties die aansluiten op de behoeften van je bedrijf. <br> Als je meer wilt weten over het configureren van de plug-in, bekijk dan onze <a href=""%2"" target=""_blank""> stapsgewijze handleiding </a> ."
"The buyer and the seller are the same company.","De koper en de verkoper zijn hetzelfde bedrijf."
"The capture action is not available.","De vastleg actie is niet beschikbaar."
"Title","Titel"
"Unable to confirm %1 order with %2 state.","Kan %1 bestelling met %2 status niet bevestigen."
"Unable to find the requested %1 order","Kan de gevraagde %1 bestelling niet vinden"
"Version","Versie"
"You must accept %1 to place order.","U moet %1 accepteren om de bestelling te plaatsen."
"Your invoice purchase with %1 could not be processed. The cart will be restored.","Uw factuuraankoop met %1 kon niet worden verwerkt. De winkelwagen wordt hersteld."
"Your invoice purchase with %1 failed verification. The cart will be restored.","Uw aankoop op factuur met %1 is niet geverifieerd. De winkelwagen wordt hersteld."
"Your invoice purchase with %1 has been cancelled. The cart will be restored.","Uw aankoop op factuur met %1 is geannuleerd. De winkelwagen wordt hersteld."
"Your invoice purchase with %1 has been declined.","Uw aankoop op factuur met %1 is geweigerd."
"Your invoice with %1 is likely to be accepted, subject to additional checks.","Uw factuur met %1 wordt waarschijnlijk geaccepteerd, mits er aanvullende controles worden uitgevoerd."
"Your request to %1 failed. Reason: %2","Uw verzoek aan %1 is mislukt. Reden: %2"
"Your sole trader account could not be verified.","Uw eenmanszaakaccount kon niet worden geverifieerd."
"Zip/Postal Code","Postcode"
"Invoice email address","E-mailadres factuur"
"Please ensure that your invoice email address list only contains valid email addresses separated by commas.","Zorg ervoor dat uw factuur-e-mailadreslijst alleen geldige e-mailadressen bevat, gescheiden door komma's."
"Enter %1 or more characters","Voer %1 of meer tekens in"
"Show invoice email field","Factuur-e-mailveld weergeven"
"Payment terms type","Type betaaltermijnen"
"Hyva Extension","Hyva-extensie"
"Checkout fields","Afrekenvelden"
"Standard","Standaard"
"End of Month","Einde van de maand"
"%1 days","%1 dagen"
"Controls the position of this payment method relative to other payment methods at checkout. Lower numbers appear first. Default is empty (no specific order).","Bepaalt de positie van deze betaalmethode ten opzichte van andere betaalmethoden bij het afrekenen. Lagere nummers verschijnen eerst. Standaard is leeg (geen specifieke volgorde)."
"Payment terms","Betaaltermijnen"
"Select the payment term that will be automatically selected for your customer. Automatic leaves the choice to the checkout, which uses your own default term when you offer it.","Kies de betaaltermijn die automatisch wordt geselecteerd voor je klant. Automatisch laat de keuze aan de checkout, die uw eigen standaardtermijn gebruikt als u die aanbiedt."
"Surcharge method","Toeslagstrategie"
"No surcharge applied","Geen toeslag"
"Select a method to surcharge your customer.","Kies een methode om kosten door te berekenen aan je klant."
"No","Nee"
"Percentage","Percentage"
"Fixed fee","Vast bedrag"
"Fixed fee and percentage","Vast bedrag en percentage"
"Surcharge calculation basis","Basis voor toeslagberekening"
"Total fee for selected term","Totale vergoeding voor geselecteerde termijn"
"Fee difference vs default payment term","Verschil ten opzichte van standaard betaaltermijn"
"Surcharge line description","Omschrijving toeslagregel"
"Payment terms fee","Toeslag betaaltermijnen"
"Payment terms fee - %1 days","Betaaltermijn toeslag - %1 dagen"
"Payment terms fee - %1 days from end of month","Betaaltermijn toeslag - %1 dagen vanaf einde maand"
"Custom surcharge tax rate (%)","Aangepast BTW-tarief toeslag (%)"
"Surcharge tax treatment","BTW-behandeling toeslag"
"-- Select surcharge tax treatment --","-- Selecteer BTW-behandeling voor toeslag --"
"Custom flat rate (deprecated)","Aangepast vast tarief (verouderd)"
"Product Tax Class applied to the surcharge. Country, region and combined rates resolve exactly as they do for a product. To leave the surcharge untaxed, create a Tax Rule with a 0% rate and select its Product Tax Class here.","BTW-klasse die op de toeslag wordt toegepast. Land-, regio- en gecombineerde tarieven worden precies zo bepaald als voor een product. Om de toeslag onbelast te laten, maak je een belastingregel met een tarief van 0% en selecteer je de BTW-klasse daarvan hier."
"That surcharge tax treatment leaves the surcharge untaxed in every jurisdiction and is no longer available. Create a Tax Rule with a 0% rate and select its Product Tax Class instead.","Die BTW-behandeling laat de toeslag in elk rechtsgebied onbelast en is niet langer beschikbaar. Maak in plaats daarvan een belastingregel met een tarief van 0% en selecteer de BTW-klasse daarvan."
"The saved Surcharge tax treatment leaves the surcharge untaxed in every jurisdiction and is no longer available. Select a Surcharge tax treatment to save this configuration. To leave the surcharge untaxed, create a Tax Rule with a 0% rate and select its Product Tax Class.","De opgeslagen BTW-behandeling toeslag laat de toeslag in elk rechtsgebied onbelast en is niet langer beschikbaar. Selecteer een BTW-behandeling toeslag om deze configuratie op te slaan. Om de toeslag onbelast te laten, maakt u een belastingregel met een tarief van 0% en selecteert u de BTW-klasse daarvan."
"This store is set to a surcharge tax treatment that leaves the surcharge untaxed in every jurisdiction. That treatment is no longer available and this configuration can no longer be saved while it is selected.","Deze winkel staat op een BTW-behandeling voor de toeslag die de toeslag in elk rechtsgebied onbelast laat. Die behandeling is niet langer beschikbaar en deze configuratie kan niet worden opgeslagen zolang die is geselecteerd."
"Create a Tax Rule with a 0% rate and select its Product Tax Class here.","Maak een belastingregel met een tarief van 0% en selecteer de BTW-klasse daarvan hier."
"Manage Tax Rules","Belastingregels beheren"
"The ""Custom flat rate"" surcharge tax treatment is deprecated and only available to merchants with a previously configured Surcharge Tax Rate. Please select a tax class instead.","De BTW-behandeling ""Aangepast vast tarief"" is verouderd en alleen beschikbaar voor verkopers met een eerder geconfigureerd BTW-tarief voor de toeslag. Selecteer in plaats daarvan een BTW-klasse."
"Deprecated flat tax rate. Only used with the Custom surcharge tax treatment above.","Verouderd vast BTW-tarief. Alleen gebruikt met de aangepaste BTW-behandeling hierboven."
"Leave empty to use your store's default tax rate (%1%). Enter 0 for tax-exempt.","Laat leeg om het standaard BTW-tarief van je winkel te gebruiken (%1%). Voer 0 in voor BTW-vrijstelling."
"Warning: No tax rules are configured for your store. Enter a rate manually, or enter 0 for tax-exempt.","Waarschuwing: er zijn geen belastingregels geconfigureerd voor je winkel. Voer handmatig een tarief in of voer 0 in voor BTW-vrijstelling."
"To set up automatic tax resolution:","Om automatische belastingberekening in te stellen:"
"Term","Termijn"
"Fixed amount","Vast bedrag"
"Percent of fee","Percentage van de fee"
"Limit","Limiet"
"Use Default","Gebruik standaard"
"default","standaard"
"No payment terms selected. Select payment terms above to configure surcharges.","Geen betaaltermijnen geselecteerd. Selecteer hierboven betaaltermijnen om toeslagen te configureren."
"Payment Term","Betaaltermijn"
"days","dagen"
"day","dag"
"Selected payment terms","Gewenste betaaltermijn"
"Selected payment term is not available.","Geselecteerde betaaltermijn is niet beschikbaar."
"The selected payment term was not applied. Reload the page and select it again.","De geselecteerde betaaltermijn is niet toegepast. Laad de pagina opnieuw en selecteer de termijn nogmaals."
"Applying the selected payment term…","De geselecteerde betaaltermijn wordt toegepast…"
"Could not update payment term.","Kan betaaltermijn niet bijwerken."
"Please try again.","Probeer het opnieuw."
"Please select a country first","Selecteer eerst een land"
"Activates this plugin as a payment option in the checkout page","Activeert deze plugin als betaalmethode op de afrekenpagina."
"Descriptive title which gives the buyer a better understanding of this payment method","Beschrijvende titel die de koper een beter begrip geeft van deze betaalmethode."
"Optional field which enables the buyer to register the department the purchase is connected to. The information is eventually displayed on the invoice.","Optioneel veld waarmee de koper de afdeling kan registreren waaraan de aankoop is gekoppeld. De informatie verschijnt uiteindelijk op de factuur."
"Optional field which enables the buyer to register a note to the merchant. The information is eventually displayed on the invoice.","Optioneel veld waarmee de koper een opmerking aan de verkoper kan registreren. De informatie verschijnt uiteindelijk op de factuur."
"Optional field which enables the buyer to register the project the purchase is connected to. The information is eventually displayed on the invoice.","Optioneel veld waarmee de koper het project kan registreren waaraan de aankoop is gekoppeld. De informatie verschijnt uiteindelijk op de factuur."
"Optional field which enables the buyer to register their purchase order number.","Optioneel veld waarmee de koper het inkoopordernummer kan registreren."
"Let your buyer input additional emails to forward the invoice to on order fulfilment.","Laat uw koper aanvullende e-mailadressen invoeren om de factuur door te sturen bij bestellingsuitvoering."
"Select your company from the dropdown to continue.","Selecteer uw bedrijf uit de lijst om door te gaan."
"Surcharge refund must be a valid amount (e.g. 1.50 or 1,50).","Toeslagrestitutie moet een geldig bedrag zijn (bijv. 1.50 of 1,50)."
"Surcharge refund cannot be negative.","Toeslagrestitutie mag niet negatief zijn."
"Surcharge refund (%1) exceeds the remaining refundable surcharge (%2).","Toeslagrestitutie (%1) overschrijdt de resterende restitueerbare toeslag (%2)."
"API key","API-sleutel"
"Select between sandbox and production environment. The sandbox environment is for testing purposes and does not involve real money.","Kies tussen zandbak en productie omgeving. De zandbak omgeving is om te testen en maakt geen gebruik van echt geld."
"API key for sandbox environment is available on your merchant portal (however please reach out to integration@two.inc for access to production keys).","API sleutel voor de zandbak omgeving is beschikbaar in het Verkopersportaal (neem contact op met integration@two.inc voor toegang tot productie sleutels)"
"The debug mode enables writing to the error logs below. Debug mode should only be enabled when the sandbox environment is active","De debug modus maakt opnemen in het foutenlogboek mogelijk. Debug modus moet alleen ingeschakeld zijn wanneer de zandbak omgeving actief is."
"When enabled, the buyer may search for their company within the address entry section of the checkout. Otherwise, company search will be visible within the payment method.","Wanneer dit is ingeschakeld, kan de koper zijn bedrijf zoeken in het adresgedeelte van de checkout. Anders is bedrijf zoeken zichtbaar binnen de betaalmethode."
"Two surcharge","Betalingstoeslag"
"%1 days - %2: value cannot be negative.","%1 dagen - %2: waarde mag niet negatief zijn."
"%1 days - fixed amount: maximum is %2.","%1 dagen - vast bedrag: maximum is %2."
"%1 days - percentage: maximum is %2.","%1 dagen - percentage: maximum is %2."
"30 days","30 dagen"
"60 days","60 dagen"
"90 days","90 dagen"
"Add optional tax_subtotals metadata to order creation payload to enforce additional validation (recommended).","Voeg optionele BTW-subtotalen toe aan order creatie data om extra validatie toe te passen (aanbevolen)."
"All Allowed Countries","Alle toegestane landen"
"Amounts are shown in %1.","Bedragen worden getoond in %1."
"Developed by Magmodules.","Ontwikkeld door Magmodules."
"Enter the amount you want to charge your customer.","Vul het bedrag in dat je bij je klant in rekening wilt brengen."
"Max %1.","Max %1."
"Enter the percentage of the fee's cost to you that you want the surcharge to recover. 100% means the fee no longer reduces your revenue at all.","Vul het percentage van de fee-kosten voor jou in dat je met de toeslag wilt terugverdienen. 100% betekent dat de fee je omzet niet langer verlaagt."
"Enter the amount and percentage of the fee charged to you that you want to offset with a surcharge. Max 100%.","Vul het bedrag en het percentage van de fee die aan jou in rekening wordt gebracht in dat je met een toeslag wilt compenseren. Max 100%."
"Enter a limit amount (in %1) if you do not want to charge your customer more than a specific amount. Leave the limit field empty if you don't want to impose a limit amount.","Vul een limietbedrag (in %1) in als je je klant niet meer dan een specifiek bedrag in rekening wilt brengen. Laat het limietveld leeg als je geen limietbedrag wilt instellen."
"Fulfilment can be triggered by either initializing shipping or creating an invoice in the Magento admin","Vervulling kan getriggerd worden door verzending of door een factuur aan te maken in het Magento portaal"
"I accept the %1 and authorize %2 to process my data automatically.","Ik accepteer de %1 en geef toestemming aan %2 voor automatische verwerking van mijn gegevens."
"Payment surcharge configuration","Configuratie van toeslagen"
"Perform a check during checkout to inform the buyer whether an order is likely to be accepted before being placed (recommended).","Doe een controle tijdens checkout om de koper te informeren of de bestelling waarschijnlijk geaccepteerd zal worden voordat deze geplaatst wordt (aanbevolen)."
"Select the payment term(s) you want to offer.","Selecteer de betaaltermijn(en) die je wilt aanbieden."
"Specific Countries","Specifieke landen"
"Warning: The fixed fee limit of %1 %2 cannot be enforced correctly because no exchange rate is currently available from %3 to %4.","Waarschuwing: de vaste toeslaglimiet van %1 %2 kan niet correct worden toegepast omdat er momenteel geen wisselkoers beschikbaar is van %3 naar %4."
"Yes","Ja"
"payment terms","betaalvoorwaarden"
"Max refundable: %1","Maximaal terugbetaalbaar: %1"
"Surcharge rounding","Afronden van Toeslag"
"Rounding step","Afronding"
"None","Geen"
"Up","Naar boven"
"Down","Naar beneden"
"Snap the buyer surcharge line item to a clean increment. Select None for standard two-decimal amounts.","Rond de toeslag voor je klant af naar een gekozen hoeveelheid. Selecteer Geen om geen afronding toe te passen."
"Increment the surcharge is rounded to (e.g. 1 = whole units, 0.50 = nearest half).","Kies naar welk bedrag je wilt afronden (1 = heel bedrag, 0,50 = dichtstbijzijnde helft)"
"Company search is temporarily unavailable. Please try again, or enter details manually.","Zoeken naar bedrijven is tijdelijk niet beschikbaar. Probeer het opnieuw of voer de gegevens handmatig in."
"Company search is unavailable right now. Please try again shortly.","Zoeken naar bedrijven is op dit moment niet beschikbaar. Probeer het binnenkort opnieuw."
"Minimum order value","Minimale bestelwaarde"
"Minimum order value tax basis","BTW-basis voor minimale bestelwaarde"
"Whether the basket is compared against the minimum including or excluding tax","Of de winkelwagen wordt vergeleken met het minimum inclusief of exclusief BTW"
"<strong>Standard:</strong> Payment due after a fixed number of days from fulfilment.<br/><strong>End of Month:</strong> Payment due at the end of month plus additional days from fulfilment.","<strong>Standaard:</strong> Betaling verschuldigd na een vast aantal dagen vanaf vervulling.<br/><strong>Einde van de maand:</strong> Betaling verschuldigd aan het einde van de maand plus extra dagen vanaf vervulling."
"Description shown to the buyer for the surcharge line item. Use <strong>%1</strong> to insert the selected number of days (e.g. ""Payment terms fee - %1 days""). If you leave the default, the word <em>days</em> is translated per locale. With an end-of-month payment terms type, the default switches to its end-of-month wording.","Omschrijving die aan de koper wordt getoond voor de toeslagregel. Gebruik <strong>%1</strong> om het gekozen aantal dagen in te voegen (bijv. ""Betaaltermijn toeslag - %1 dagen""). Als je de standaardwaarde laat staan, wordt het woord <em>dagen</em> per taal vertaald. Bij het type betaaltermijnen vanaf einde maand schakelt de standaardwaarde over naar de formulering voor einde maand."
"Hide the payment method below this order value (store base currency, on the tax basis selected below). Leave empty for no minimum.","Verberg de betaalmethode onder deze bestelwaarde (basisvaluta van de winkel, op de hieronder geselecteerde BTW-basis). Laat leeg voor geen minimum."
"Platform minimum %1, %2 tax. A value here is interpreted in the store base currency on the tax basis selected below and must be at least this.","Platformminimum %1, %2 BTW. Een waarde hier wordt geïnterpreteerd in de basisvaluta van de winkel op de hieronder geselecteerde BTW-basis en moet minimaal dit bedrag zijn."
"including","inclusief"
"excluding","exclusief"
"Minimum order value, %1","Minimale bestelwaarde, %1"
"Including tax (gross)","Inclusief BTW (bruto)"
"Excluding tax (net)","Exclusief BTW (netto)"
"Invoice purchase with %1 is not available for this order. Minimum order value is %2 %3 tax.","Aankoop op factuur met %1 is niet beschikbaar voor deze bestelling. De minimale bestelwaarde is %2 %3 BTW."
"Minimum order value must be at least the platform minimum of %1, %2 tax.","De minimale bestelwaarde moet minimaal het platformminimum van %1 zijn, %2 BTW."
"Minimum order value must be a non-negative number.","De minimale bestelwaarde moet een niet-negatief getal zijn."
"Merchant ID:","Verkoper-ID:"
"Refund %1","Terugbetaling %1"
"Surcharge","Toeslag"
"Please select a surcharge tax treatment. A surcharge method is enabled (see the Surcharge method field), so the Surcharge tax treatment field must be chosen explicitly before this configuration can be saved.","Selecteer een BTW-behandeling voor de toeslag. Er is een toeslagmethode ingeschakeld (zie het veld Toeslagstrategie), dus het veld BTW-behandeling toeslag moet expliciet worden gekozen voordat deze configuratie kan worden opgeslagen."
"Unable to calculate payment terms surcharge. Please try again in a moment.","Kan de toeslag voor betaaltermijnen niet berekenen. Probeer het over een moment opnieuw."
"Two payment is temporarily unavailable. Please try another payment method or contact support (ref: %1).","Betalen met Two is tijdelijk niet beschikbaar. Probeer een andere betaalmethode of neem contact op met support (ref: %1)."
"Two payment is temporarily unavailable. Please try another payment method or contact support.","Betalen met Two is tijdelijk niet beschikbaar. Probeer een andere betaalmethode of neem contact op met support."
"Pricing API response missing required field: buyer_fee_share","Antwoord van de Pricing API mist een verplicht veld: buyer_fee_share"
"Pricing API returned currency %1 but order currency is %2.","De Pricing API gaf valuta %1 terug, maar de valuta van de bestelling is %2."
"Surcharge tax calculation returned no result for the surcharge line (%1 currency pass).","De BTW-berekening voor de toeslag gaf geen resultaat voor de toeslagregel (%1-valutaronde)."
"Could not synchronise the cancellation with %1. The order has not been cancelled. Please try again, or contact support if this persists.","Kon de annulering niet synchroniseren met %1. De bestelling is niet geannuleerd. Probeer het opnieuw, of neem contact op met support als dit blijft gebeuren."
"Invoice uploaded to Two successfully.","Factuur is succesvol geüpload naar Two."
"Invoice upload failed: %1","Uploaden van factuur mislukt: %1"
"⚠ deployment incomplete — code newer than compiled assets; run setup:static-content:deploy","⚠ implementatie onvolledig — code is nieuwer dan de gecompileerde assets; voer setup:static-content:deploy uit"
"Use Website Value","Gebruik websitewaarde"
"Invoice purchase with %1 requires a company number. Please add your company details and try again.","Aankoop op factuur met %1 vereist een KVK-nummer. Vul uw bedrijfsgegevens in en probeer het opnieuw."
"%1 days - limit: a limit of 0 is not allowed. To charge nothing on this term, set the fixed amount and percentage to 0 instead, and leave the limit empty.","%1 dagen - limiet: een limiet van 0 is niet toegestaan. Als je voor deze termijn niets in rekening wilt brengen, stel dan het vaste bedrag en het percentage in op 0 en laat het limietveld leeg."
"A limit of 0 is not allowed. To charge nothing on this term, set the fixed amount and percentage to 0 instead, and leave the limit empty.","Een limiet van 0 is niet toegestaan. Als je voor deze termijn niets in rekening wilt brengen, stel dan het vaste bedrag en het percentage in op 0 en laat het limietveld leeg."
"A limit of 0 is not allowed. To charge nothing on a term, set the fixed amount and the percentage for that term to 0 instead.","Een limiet van 0 is niet toegestaan. Als je voor een termijn niets in rekening wilt brengen, stel dan het vaste bedrag en het percentage van die termijn in op 0."
"The limit applies to the whole fee: the percentage and the fixed amount together, not the percentage alone.","De limiet geldt voor de hele fee: het percentage en het vaste bedrag samen, niet alleen het percentage."
"%1 days - %2: value must be a number.","%1 dagen - %2: waarde moet een getal zijn."
"This order could not be placed. Please contact the merchant.","Deze bestelling kon niet worden geplaatst. Neem contact op met de verkoper."
"The payment terms you selected are no longer available. Please select your payment terms again.","De betalingsvoorwaarden die u hebt gekozen zijn niet langer beschikbaar. Selecteer opnieuw uw betalingsvoorwaarden."
"A limit of 0 is stored for payment terms not shown in the grid (%1 days), and a percentage surcharge would clamp those terms to no fee at all. Select those terms in the Payment terms setting to clear their limit, then save again.","Voor betalingsvoorwaarden die niet in de tabel staan (%1 dagen) is een limiet van 0 opgeslagen, waardoor een procentuele toeslag die voorwaarden op nul kosten vastzet. Selecteer die voorwaarden in de instelling Betalingsvoorwaarden om de limiet te wissen en sla opnieuw op."
"Platform minimum %1, %2 tax. A value here is interpreted in %3 on the tax basis selected below, and no exchange rate for %4 to %3 is currently available, so the two cannot be compared. Configure the rate under Stores > Currency Rates.","Platformminimum %1, %2 btw. Een waarde hier wordt geïnterpreteerd in %3 op de hieronder gekozen belastinggrondslag, en er is momenteel geen wisselkoers van %4 naar %3 beschikbaar, waardoor de twee niet vergeleken kunnen worden. Stel de koers in via Winkels > Valutakoersen."
"Checking API key…","API-sleutel controleren…"
"Please select your company before paying with %1.","Selecteer uw bedrijf voordat u betaalt met %1."
"Too many requests. Please wait a moment and try again.","Te veel aanvragen. Wacht een moment en probeer het opnieuw."
"The service is temporarily unavailable. Please try again.","De service is tijdelijk niet beschikbaar. Probeer het opnieuw."
"The payment integration is not available right now.","De betaalintegratie is op dit moment niet beschikbaar."
"Invalid order intent payload.","Ongeldige inhoud van de orderaanvraag."
